"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
KALYANKJIL,EQ,28-Dec-2021,67.25,67.35,68.6,67.35,67.6,67.65,67.86,508037,34476907.2,3875,196961.0,38.77
KALYANKJIL,EQ,27-Dec-2021,67.75,66.95,68.35,66.5,67.35,67.25,67.42,492504,33202612.05,4418,218810.0,44.43
KALYANKJIL,EQ,24-Dec-2021,67.55,68.05,68.65,66.8,67.7,67.75,67.68,547612,37060833.6,4843,194255.0,35.47
KALYANKJIL,EQ,23-Dec-2021,67.6,68.0,68.25,67.2,67.7,67.55,67.75,379276,25694126.75,3648,188418.0,49.68
KALYANKJIL,EQ,22-Dec-2021,67.25,67.8,68.15,67.1,67.8,67.6,67.77,341851,23167988.6,3428,161481.0,47.24
KALYANKJIL,EQ,21-Dec-2021,66.7,67.7,68.2,67.05,67.5,67.25,67.68,538810,36464403.15,4519,221984.0,41.2
KALYANKJIL,EQ,20-Dec-2021,68.25,67.9,67.9,64.7,66.5,66.7,65.92,1216604,80199917.0,14856,458400.0,37.68
KALYANKJIL,EQ,17-Dec-2021,70.3,69.9,70.15,67.75,68.35,68.25,68.78,1054141,72501249.8,9934,294977.0,27.98
KALYANKJIL,EQ,16-Dec-2021,69.3,69.3,71.5,68.1,70.35,70.3,69.86,1364036,95295057.15,10730,435586.0,31.93
KALYANKJIL,EQ,15-Dec-2021,69.8,69.5,70.25,68.7,69.35,69.3,69.49,539363,37481670.45,4828,224223.0,41.57
KALYANKJIL,EQ,14-Dec-2021,70.45,69.9,70.8,69.45,69.85,69.8,70.03,482990,33824981.25,4439,199742.0,41.36
KALYANKJIL,EQ,13-Dec-2021,71.75,71.8,72.55,70.1,71.0,70.45,71.47,763279,54551449.2,6534,307824.0,40.33
KALYANKJIL,EQ,10-Dec-2021,70.5,70.25,72.15,70.1,71.7,71.75,71.55,1084269,77584267.15,8105,382012.0,35.23
KALYANKJIL,EQ,09-Dec-2021,68.7,69.0,71.2,68.55,70.35,70.5,69.95,980726,68600006.6,7488,439815.0,44.85
KALYANKJIL,EQ,08-Dec-2021,67.85,68.3,69.15,68.3,68.95,68.7,68.72,526127,36156134.65,4341,232187.0,44.13
KALYANKJIL,EQ,07-Dec-2021,67.7,68.45,68.7,67.0,67.85,67.85,68.23,584583,39886587.2,5166,268295.0,45.9
KALYANKJIL,EQ,06-Dec-2021,69.2,69.3,70.8,67.3,67.6,67.7,69.12,932923,64485900.2,7529,455067.0,48.78
KALYANKJIL,EQ,03-Dec-2021,68.0,69.0,70.4,67.05,69.8,69.2,69.38,1360164,94362404.4,10021,554313.0,40.75
KALYANKJIL,EQ,02-Dec-2021,67.9,69.0,69.2,67.65,68.15,68.0,68.14,469526,31992670.2,5384,241351.0,51.4
KALYANKJIL,EQ,01-Dec-2021,67.05,67.7,68.5,67.0,67.9,67.9,67.69,447120,30264590.25,5519,154550.0,34.57
KALYANKJIL,EQ,30-Nov-2021,66.4,67.6,69.3,66.5,66.7,67.05,67.94,937471,63690975.65,11974,330971.0,35.3
KALYANKJIL,EQ,29-Nov-2021,67.4,67.4,68.0,64.45,66.85,66.4,66.28,1123298,74446801.7,12653,433849.0,38.62
KALYANKJIL,EQ,26-Nov-2021,70.75,69.95,70.6,67.0,67.4,67.4,68.61,1397409,95873105.8,15984,793315.0,56.77
KALYANKJIL,EQ,25-Nov-2021,71.45,71.0,72.0,70.25,70.7,70.75,71.15,430214,30610494.2,5314,229505.0,53.35
KALYANKJIL,EQ,24-Nov-2021,70.1,70.1,72.75,70.1,71.4,71.45,71.83,1013630,72812384.45,10547,436134.0,43.03
KALYANKJIL,EQ,23-Nov-2021,68.5,69.0,70.5,68.0,70.2,70.1,69.45,1027655,71368405.95,11935,462959.0,45.05
KALYANKJIL,EQ,22-Nov-2021,72.85,73.5,73.75,68.1,68.35,68.5,69.86,1408933,98425701.3,16146,833888.0,59.19
KALYANKJIL,EQ,18-Nov-2021,74.6,74.95,75.0,72.05,72.9,72.85,73.13,1065707,77937924.9,12067,516189.0,48.44
KALYANKJIL,EQ,17-Nov-2021,75.35,75.0,75.85,74.2,74.7,74.6,74.9,868825,65078302.7,8396,467699.0,53.83
KALYANKJIL,EQ,16-Nov-2021,75.8,75.8,76.6,75.15,75.25,75.35,75.87,797993,60542947.6,6696,402063.0,50.38
KALYANKJIL,EQ,15-Nov-2021,78.05,78.55,78.55,75.2,75.5,75.8,76.41,1744959,133337031.3,15974,918659.0,52.65
KALYANKJIL,EQ,12-Nov-2021,79.85,80.4,80.5,77.25,78.3,78.05,78.69,1430120,112540812.95,10295,839071.0,58.67
KALYANKJIL,EQ,11-Nov-2021,81.5,81.9,82.45,79.5,79.6,79.85,80.62,2821262,227461508.5,19370,1389510.0,49.25
KALYANKJIL,EQ,10-Nov-2021,78.65,78.25,83.6,78.0,81.5,81.5,81.6,10337151,843480458.95,62165,3446792.0,33.34
KALYANKJIL,EQ,09-Nov-2021,78.3,78.3,79.8,78.0,78.7,78.65,78.77,1554141,122426673.15,12204,841935.0,54.17
KALYANKJIL,EQ,08-Nov-2021,78.0,78.0,78.7,77.25,78.3,78.3,78.14,1521242,118866345.45,12707,903819.0,59.41
KALYANKJIL,EQ,04-Nov-2021,77.55,78.45,79.1,77.7,77.95,78.0,78.23,572607,44795136.65,6031,359416.0,62.77
KALYANKJIL,EQ,03-Nov-2021,77.95,78.6,79.3,77.25,77.75,77.55,78.32,2388363,187049811.4,18097,866100.0,36.26
KALYANKJIL,EQ,02-Nov-2021,76.65,77.8,79.5,77.65,77.9,77.95,78.41,2138948,167710929.05,16365,931677.0,43.56
KALYANKJIL,EQ,01-Nov-2021,76.25,76.3,77.55,76.3,76.85,76.65,76.9,870108,66915502.75,6456,450841.0,51.81
KALYANKJIL,EQ,29-Oct-2021,76.55,76.25,78.15,75.65,76.2,76.25,77.01,1947467,149983383.6,13607,857748.0,44.04
KALYANKJIL,EQ,28-Oct-2021,76.25,77.7,78.4,76.0,76.25,76.55,76.96,2121676,163287863.5,15540,730994.0,34.45
KALYANKJIL,EQ,27-Oct-2021,75.8,76.0,78.6,75.4,76.15,76.25,77.12,3410455,263014667.6,21393,835651.0,24.5
KALYANKJIL,EQ,26-Oct-2021,74.15,74.55,76.0,74.15,76.0,75.8,75.46,914208,68984231.8,6784,445949.0,48.78
KALYANKJIL,EQ,25-Oct-2021,75.4,75.4,75.95,72.0,74.4,74.15,74.58,1283955,95762680.25,11846,555007.0,43.23
KALYANKJIL,EQ,22-Oct-2021,75.6,76.75,77.35,74.8,75.15,75.4,76.16,1743376,132782803.85,10585,820743.0,47.08
KALYANKJIL,EQ,21-Oct-2021,75.05,75.4,79.3,75.05,75.9,75.6,77.0,3135469,241424165.5,20598,1115670.0,35.58
KALYANKJIL,EQ,20-Oct-2021,75.5,75.65,76.7,74.55,75.45,75.05,75.59,1358479,102687275.75,11772,698829.0,51.44
KALYANKJIL,EQ,19-Oct-2021,77.95,78.0,78.65,75.0,75.3,75.5,76.72,1767147,135581900.45,13707,998894.0,56.53
KALYANKJIL,EQ,18-Oct-2021,78.8,79.5,80.5,77.65,77.8,77.95,79.13,2828462,223817691.45,17643,1472967.0,52.08
KALYANKJIL,EQ,14-Oct-2021,78.0,78.65,80.85,78.1,78.95,78.8,79.45,3033952,241054869.4,18737,1274953.0,42.02
KALYANKJIL,EQ,13-Oct-2021,79.0,79.65,80.25,77.85,78.05,78.0,78.71,2240618,176357191.25,17220,1264380.0,56.43
KALYANKJIL,EQ,12-Oct-2021,78.05,77.95,80.3,77.85,79.0,79.0,78.95,2382805,188134179.35,18762,1102207.0,46.26
KALYANKJIL,EQ,11-Oct-2021,78.0,78.5,80.4,77.0,77.85,78.05,79.01,3677288,290550545.65,32009,1753501.0,47.68
KALYANKJIL,EQ,08-Oct-2021,79.95,80.9,81.85,77.3,77.9,78.0,79.34,4768071,378286646.5,31225,1805447.0,37.87
KALYANKJIL,EQ,07-Oct-2021,70.55,76.0,80.55,75.35,80.5,79.95,78.33,16086688,1260023863.8,90396,6244334.0,38.82
KALYANKJIL,EQ,06-Oct-2021,72.3,72.3,72.5,70.2,70.75,70.55,71.44,1064338,76037963.95,8528,659320.0,61.95
KALYANKJIL,EQ,05-Oct-2021,73.4,73.1,73.4,72.2,72.25,72.3,72.68,690812,50204789.2,6658,438967.0,63.54
KALYANKJIL,EQ,04-Oct-2021,73.5,74.1,74.95,73.1,73.3,73.4,73.75,948110,69925814.8,8478,519403.0,54.78
KALYANKJIL,EQ,01-Oct-2021,72.9,72.8,74.15,72.0,73.45,73.5,73.31,1633264,119728862.5,12826,868032.0,53.15
KALYANKJIL,EQ,30-Sep-2021,70.05,70.85,74.2,70.4,72.75,72.9,72.78,2689149,195718504.3,20460,1355389.0,50.4
KALYANKJIL,EQ,29-Sep-2021,69.05,68.95,70.5,68.1,70.4,70.05,69.75,604182,42141750.35,6111,377481.0,62.48
KALYANKJIL,EQ,28-Sep-2021,69.1,69.4,69.75,68.5,69.1,69.05,69.1,674544,46608627.85,6982,342335.0,50.75
KALYANKJIL,EQ,27-Sep-2021,69.5,70.4,70.8,68.5,69.1,69.1,69.51,573795,39886053.5,6501,319245.0,55.64
KALYANKJIL,EQ,24-Sep-2021,69.9,70.65,70.65,68.75,69.65,69.5,69.59,860080,59850503.0,8015,489468.0,56.91
KALYANKJIL,EQ,23-Sep-2021,70.65,71.3,73.0,69.05,69.75,69.9,70.66,1506590,106458081.95,8784,1019510.0,67.67
KALYANKJIL,EQ,22-Sep-2021,67.9,68.05,72.0,68.05,70.0,70.65,70.68,1579783,111661819.35,11645,867076.0,54.89
KALYANKJIL,EQ,21-Sep-2021,69.65,69.65,69.65,67.0,68.0,67.9,68.04,1366605,92986294.0,9745,926249.0,67.78
KALYANKJIL,EQ,20-Sep-2021,71.9,70.1,71.65,69.05,69.6,69.65,70.53,1045261,73723456.2,8403,644269.0,61.64
KALYANKJIL,EQ,17-Sep-2021,72.65,73.3,73.35,70.25,71.9,71.9,71.84,1764057,126732723.95,14405,943967.0,53.51
KALYANKJIL,EQ,16-Sep-2021,71.3,72.5,74.4,71.65,72.7,72.65,73.24,2872057,210349546.85,18684,1772624.0,61.72
KALYANKJIL,EQ,15-Sep-2021,66.65,67.1,72.2,67.0,72.2,71.3,70.28,4500779,316317852.35,26678,2400416.0,53.33
KALYANKJIL,EQ,14-Sep-2021,65.8,66.7,66.9,66.25,66.75,66.65,66.6,617145,41104732.95,5369,404995.0,65.62
KALYANKJIL,EQ,13-Sep-2021,65.95,66.65,67.05,65.7,65.85,65.8,66.42,695057,46166975.4,5442,423614.0,60.95
KALYANKJIL,EQ,09-Sep-2021,66.95,67.0,67.25,65.6,66.0,65.95,66.14,702325,46454676.4,5410,461995.0,65.78
KALYANKJIL,EQ,08-Sep-2021,67.25,68.0,68.0,66.6,66.8,66.95,67.07,743322,49856112.6,5579,410972.0,55.29
KALYANKJIL,EQ,07-Sep-2021,66.65,67.7,68.5,66.25,67.35,67.25,67.25,1297910,87281350.15,8182,658187.0,50.71
KALYANKJIL,EQ,06-Sep-2021,66.2,66.1,67.9,66.1,66.75,66.65,66.65,962796,64174811.1,6711,495361.0,51.45
KALYANKJIL,EQ,03-Sep-2021,64.95,65.65,67.3,64.5,66.1,66.2,65.87,2683374,176753183.5,13465,1227661.0,45.75
KALYANKJIL,EQ,02-Sep-2021,66.3,66.0,66.5,64.75,64.95,64.95,65.43,1403621,91837875.5,8869,845126.0,60.21
KALYANKJIL,EQ,01-Sep-2021,67.1,67.4,67.85,65.85,65.95,66.3,66.86,898242,60053873.3,8880,487307.0,54.25
KALYANKJIL,EQ,31-Aug-2021,62.95,63.55,69.25,63.15,67.0,67.1,66.77,3789051,253007079.95,23864,1324236.0,34.95
KALYANKJIL,EQ,30-Aug-2021,62.9,63.7,63.7,62.7,63.05,62.95,62.99,892859,56241877.2,6323,492579.0,55.17
KALYANKJIL,EQ,27-Aug-2021,62.95,62.95,63.35,62.5,62.9,62.9,62.88,351021,22073792.0,4025,204830.0,58.35
KALYANKJIL,EQ,26-Aug-2021,63.3,63.7,63.7,62.7,62.85,62.95,63.31,423669,26820586.15,3700,215950.0,50.97
KALYANKJIL,EQ,25-Aug-2021,62.3,62.8,63.7,62.5,63.2,63.3,63.26,677773,42878946.2,7450,321567.0,47.44
KALYANKJIL,EQ,24-Aug-2021,62.05,62.35,62.85,61.8,62.3,62.3,62.21,571981,35583416.15,9147,265547.0,46.43
KALYANKJIL,EQ,23-Aug-2021,61.8,62.05,63.75,61.5,62.35,62.05,62.52,1129181,70596916.45,11934,472964.0,41.89
KALYANKJIL,EQ,20-Aug-2021,62.85,62.5,62.5,61.0,61.75,61.8,61.75,1016543,62775881.25,11031,591631.0,58.2
KALYANKJIL,EQ,18-Aug-2021,64.0,63.55,64.65,62.6,62.9,62.85,63.03,961663,60613676.3,13021,536730.0,55.81
KALYANKJIL,EQ,17-Aug-2021,65.0,65.6,66.15,63.8,63.85,64.0,64.58,1229952,79424769.1,14608,674132.0,54.81
KALYANKJIL,EQ,16-Aug-2021,66.1,66.0,66.15,64.85,65.05,65.0,65.21,684069,44608067.8,8100,385620.0,56.37
KALYANKJIL,EQ,13-Aug-2021,67.1,67.1,67.45,66.0,66.2,66.1,66.47,1012263,67286629.1,10024,521584.0,51.53
KALYANKJIL,EQ,12-Aug-2021,67.0,68.15,68.15,66.6,67.1,67.1,67.24,1196316,80435219.05,15107,647966.0,54.16
KALYANKJIL,EQ,11-Aug-2021,66.0,66.0,67.35,63.75,67.0,67.0,65.56,3075150,201619677.95,23385,2095656.0,68.15
KALYANKJIL,EQ,10-Aug-2021,66.85,67.35,67.5,64.85,66.3,66.0,66.49,3626336,241130493.6,17861,1833999.0,50.57
KALYANKJIL,EQ,09-Aug-2021,66.85,68.0,68.5,66.5,66.95,66.85,67.2,2722708,182974830.85,16810,1666611.0,61.21
KALYANKJIL,EQ,06-Aug-2021,70.85,71.05,71.45,66.1,67.15,66.85,67.06,11092950,743872929.15,50014,5615303.0,50.62
KALYANKJIL,EQ,05-Aug-2021,72.4,72.8,72.8,70.45,70.95,70.85,71.06,953982,67791191.05,6885,530691.0,55.63
KALYANKJIL,EQ,04-Aug-2021,74.3,74.55,75.3,72.3,72.5,72.4,73.68,1136730,83756832.45,11453,585865.0,51.54
KALYANKJIL,EQ,03-Aug-2021,71.75,72.2,75.7,71.8,74.0,74.3,74.44,4097464,305009175.85,25995,1654638.0,40.38
KALYANKJIL,EQ,02-Aug-2021,70.95,72.15,72.35,71.1,71.7,71.75,71.64,1081486,77476711.7,11469,415359.0,38.41
KALYANKJIL,EQ,30-Jul-2021,70.95,71.0,71.4,70.35,70.95,70.95,70.98,1017106,72191706.25,9720,356783.0,35.08
KALYANKJIL,EQ,29-Jul-2021,70.85,70.85,71.6,70.75,70.95,70.95,71.11,769212,54698400.8,7477,332085.0,43.17
KALYANKJIL,EQ,28-Jul-2021,72.05,72.05,72.35,70.4,70.75,70.85,71.04,1056740,75068487.75,11939,389373.0,36.85
KALYANKJIL,EQ,27-Jul-2021,72.1,72.15,73.1,71.0,72.1,72.05,71.97,1862309,134027438.45,17895,407486.0,21.88
KALYANKJIL,EQ,26-Jul-2021,72.3,71.5,74.15,71.3,72.2,72.1,72.59,1255438,91137433.6,11305,396281.0,31.57
KALYANKJIL,EQ,23-Jul-2021,73.3,73.8,73.95,72.1,72.6,72.3,72.8,667563,48597438.7,7472,312694.0,46.84
KALYANKJIL,EQ,22-Jul-2021,72.4,73.3,74.35,73.0,73.65,73.3,73.47,896398,65857742.3,7596,450431.0,50.25
KALYANKJIL,EQ,20-Jul-2021,72.8,72.35,74.5,70.3,73.15,72.4,71.56,1503996,107623748.05,14172,788665.0,52.44
KALYANKJIL,EQ,19-Jul-2021,75.0,74.95,74.95,72.25,72.9,72.8,73.36,1578263,115783854.1,13059,878619.0,55.67
KALYANKJIL,EQ,16-Jul-2021,75.1,75.0,75.9,74.8,75.0,75.0,75.26,854839,64332669.6,7807,441696.0,51.67
KALYANKJIL,EQ,15-Jul-2021,76.05,76.35,76.5,74.5,75.2,75.1,75.47,2133637,161016470.5,27994,653850.0,30.64
KALYANKJIL,EQ,14-Jul-2021,76.5,76.1,77.35,75.85,76.05,76.05,76.61,1734193,132848841.4,15712,613161.0,35.36
KALYANKJIL,EQ,13-Jul-2021,76.65,77.05,77.5,76.0,76.4,76.5,76.74,2483478,190579177.9,23844,603016.0,24.28
KALYANKJIL,EQ,12-Jul-2021,77.5,78.25,78.35,76.55,76.65,76.65,77.11,1260750,97222038.0,8201,753190.0,59.74
KALYANKJIL,EQ,09-Jul-2021,77.95,77.4,78.15,77.05,77.6,77.5,77.45,927960,71871093.45,7059,509539.0,54.91
KALYANKJIL,EQ,08-Jul-2021,77.5,79.0,79.3,77.65,77.7,77.95,78.5,2116905,166172979.65,15365,727556.0,34.37
KALYANKJIL,EQ,07-Jul-2021,76.7,78.0,79.6,77.1,77.3,77.5,78.21,2372762,185568129.85,14500,648164.0,27.32
KALYANKJIL,EQ,06-Jul-2021,77.0,77.0,78.65,76.3,76.8,76.7,77.45,1320043,102242285.6,10440,551148.0,41.75
KALYANKJIL,EQ,05-Jul-2021,78.05,79.5,79.5,76.6,77.35,77.0,77.58,2033534,157763911.2,18023,1205091.0,59.26
KALYANKJIL,EQ,02-Jul-2021,76.35,76.4,78.8,76.35,78.6,78.05,77.46,1246799,96572778.55,8691,580056.0,46.52
KALYANKJIL,EQ,01-Jul-2021,78.25,78.2,78.3,74.8,76.75,76.35,76.88,1564595,120281931.4,13848,865669.0,55.33
KALYANKJIL,EQ,30-Jun-2021,77.45,77.2,78.8,77.05,78.05,78.25,78.28,1510378,118225048.75,9822,760040.0,50.32
KALYANKJIL,EQ,29-Jun-2021,78.85,78.05,79.1,77.2,77.35,77.45,77.93,928364,72345309.4,9187,568123.0,61.2
KALYANKJIL,EQ,28-Jun-2021,79.2,79.9,80.6,78.5,78.8,78.85,79.28,880358,69792042.6,7956,470527.0,53.45
KALYANKJIL,EQ,25-Jun-2021,79.75,80.1,80.1,78.6,79.2,79.2,79.12,1068780,84563644.75,10687,447944.0,41.91
KALYANKJIL,EQ,24-Jun-2021,80.85,80.5,81.3,79.5,79.85,79.75,80.09,1775776,142214587.5,10210,990209.0,55.76
KALYANKJIL,EQ,23-Jun-2021,81.5,82.1,82.25,80.1,81.1,80.85,81.03,1254806,101676048.55,8407,511399.0,40.76
KALYANKJIL,EQ,22-Jun-2021,79.85,81.25,83.15,80.95,81.8,81.5,81.91,2739458,224386855.0,14606,953104.0,34.79
KALYANKJIL,EQ,21-Jun-2021,80.5,77.5,81.4,77.3,80.25,79.85,79.32,2034688,161389454.05,16732,646333.0,31.77
KALYANKJIL,EQ,18-Jun-2021,81.9,82.15,82.6,76.0,80.75,80.5,79.4,3070198,243761795.2,22121,1128828.0,36.77
KALYANKJIL,EQ,17-Jun-2021,81.8,82.75,84.8,81.5,82.3,81.9,83.1,3029064,251704840.2,19920,1008752.0,33.3
KALYANKJIL,EQ,16-Jun-2021,83.25,84.0,84.5,81.5,81.6,81.8,82.64,2821152,233126086.7,19345,1257193.0,44.56
KALYANKJIL,EQ,15-Jun-2021,83.7,83.8,85.65,82.85,83.25,83.25,84.16,2155056,181362608.5,13527,897183.0,41.63
KALYANKJIL,EQ,14-Jun-2021,85.2,85.3,85.35,80.1,83.8,83.7,82.81,3921589,324758327.1,23403,1492914.0,38.07
KALYANKJIL,EQ,11-Jun-2021,86.3,86.55,87.1,84.3,85.55,85.2,85.24,2646097,225544832.9,15973,1165736.0,44.05
KALYANKJIL,EQ,10-Jun-2021,85.4,87.0,88.25,85.85,86.0,86.3,86.97,5456977,474599780.15,31254,2081311.0,38.14
KALYANKJIL,EQ,09-Jun-2021,81.6,83.15,89.75,82.3,85.45,85.4,86.19,15698948,1353026181.25,76715,4610385.0,29.37
KALYANKJIL,EQ,08-Jun-2021,83.2,83.75,84.5,79.25,81.85,81.6,81.53,4806090,391861845.0,32887,1848746.0,38.47
KALYANKJIL,EQ,07-Jun-2021,80.85,82.45,84.65,82.05,83.35,83.2,83.52,7670757,640656321.3,48424,3133194.0,40.85
KALYANKJIL,EQ,04-Jun-2021,71.1,72.25,82.65,72.2,79.95,80.85,78.53,23826899,1871114626.8,112164,7365191.0,30.91
KALYANKJIL,EQ,03-Jun-2021,70.25,70.75,71.6,70.1,71.0,71.1,71.05,3959414,281323959.1,22407,1764071.0,44.55
KALYANKJIL,EQ,02-Jun-2021,67.95,69.3,70.8,68.1,70.35,70.25,69.63,4229691,294522041.3,27407,2182860.0,51.61
KALYANKJIL,EQ,01-Jun-2021,66.8,67.0,69.2,67.0,68.1,67.95,68.2,3204915,218564238.3,15869,1240827.0,38.72
KALYANKJIL,EQ,31-May-2021,67.9,68.0,68.2,66.6,66.75,66.8,67.09,2315437,155333670.05,12341,1057944.0,45.69
KALYANKJIL,EQ,28-May-2021,68.5,69.8,70.0,67.5,67.8,67.9,68.74,4577224,314618767.0,26534,1508329.0,32.95
KALYANKJIL,EQ,27-May-2021,71.2,71.8,72.7,68.15,68.7,68.5,69.67,7219130,502968465.5,39641,2601452.0,36.04
KALYANKJIL,EQ,26-May-2021,67.85,69.0,72.4,69.0,71.15,71.2,71.26,8567087,610498021.1,51890,2921213.0,34.1
KALYANKJIL,EQ,25-May-2021,63.0,64.0,68.4,63.5,67.5,67.85,66.53,12120772,806336966.75,61501,3946380.0,32.56
KALYANKJIL,EQ,24-May-2021,61.9,62.05,63.65,61.7,63.4,63.0,62.92,3276413,206164954.4,20834,1670128.0,50.97
KALYANKJIL,EQ,21-May-2021,60.1,61.1,64.0,59.85,62.0,61.9,62.13,6130052,380885597.85,37760,2279673.0,37.19
KALYANKJIL,EQ,20-May-2021,61.2,61.7,61.9,59.8,60.4,60.1,60.9,2434240,148256294.6,20832,1384434.0,56.87
KALYANKJIL,EQ,19-May-2021,61.25,61.25,61.6,60.85,61.45,61.2,61.24,1122948,68764420.35,9043,627235.0,55.86
KALYANKJIL,EQ,18-May-2021,60.75,60.75,61.45,60.75,61.35,61.25,61.11,1192298,72862395.6,9310,654446.0,54.89
KALYANKJIL,EQ,17-May-2021,60.8,61.2,61.7,60.3,60.75,60.75,60.79,1084150,65907105.5,11199,569116.0,52.49
KALYANKJIL,EQ,14-May-2021,62.35,63.0,63.95,60.2,60.7,60.8,61.71,2581690,159314355.45,22688,1190722.0,46.12
KALYANKJIL,EQ,12-May-2021,63.6,64.45,64.9,61.8,62.9,62.35,63.19,2592651,163830117.4,18593,1214392.0,46.84
KALYANKJIL,EQ,11-May-2021,61.5,61.5,64.9,61.0,63.7,63.6,63.32,4982475,315469279.3,29417,2101982.0,42.19
KALYANKJIL,EQ,10-May-2021,58.8,59.4,62.0,59.2,61.8,61.5,60.93,3883522,236604339.4,22931,1961233.0,50.5
KALYANKJIL,EQ,07-May-2021,56.7,57.0,59.65,56.3,58.65,58.8,58.61,4763134,279165500.8,26395,1826166.0,38.34
KALYANKJIL,EQ,06-May-2021,58.1,58.45,58.8,56.6,56.8,56.7,57.21,2238052,128038360.5,17399,1145311.0,51.17
KALYANKJIL,EQ,05-May-2021,58.25,58.5,59.5,58.0,58.2,58.1,58.34,1580604,92206919.9,10381,900609.0,56.98
KALYANKJIL,EQ,04-May-2021,58.65,58.65,60.7,58.1,58.35,58.25,59.15,2298017,135930590.75,17459,1150729.0,50.07
KALYANKJIL,EQ,03-May-2021,59.9,59.7,59.7,58.55,58.75,58.65,58.99,1696511,100081877.45,15752,1007501.0,59.39
KALYANKJIL,EQ,30-Apr-2021,61.25,61.0,61.2,59.75,59.95,59.9,60.3,2347572,141560047.2,21990,1513993.0,64.49
KALYANKJIL,EQ,29-Apr-2021,61.65,62.0,62.85,61.1,61.35,61.25,61.7,1938409,119594873.4,12853,874403.0,45.11
KALYANKJIL,EQ,28-Apr-2021,61.4,61.55,62.9,60.6,61.7,61.65,61.66,4057145,250177889.9,26870,1664921.0,41.04
KALYANKJIL,EQ,27-Apr-2021,63.85,64.0,64.8,61.2,61.35,61.4,62.21,3532919,219785505.75,34106,2315583.0,65.54
KALYANKJIL,EQ,26-Apr-2021,65.6,65.9,67.0,63.75,63.85,63.85,64.63,2193105,141734331.6,23998,1383036.0,63.06
KALYANKJIL,EQ,23-Apr-2021,66.7,66.6,66.7,65.5,65.6,65.6,65.9,1823091,120135398.7,18330,1213513.0,66.56
KALYANKJIL,EQ,22-Apr-2021,67.15,67.0,67.15,66.4,66.75,66.7,66.73,851612,56826071.4,9336,532283.0,62.5
KALYANKJIL,EQ,20-Apr-2021,66.85,67.2,68.35,66.8,67.1,67.15,67.55,797720,53885753.7,8147,426242.0,53.43
KALYANKJIL,EQ,19-Apr-2021,68.9,67.8,67.8,65.7,66.85,66.85,66.77,1228866,82054483.3,13911,729530.0,59.37
KALYANKJIL,EQ,16-Apr-2021,69.0,69.0,69.7,68.8,68.85,68.9,69.14,909629,62891815.45,9114,544465.0,59.86
KALYANKJIL,EQ,15-Apr-2021,69.3,69.0,69.85,68.55,68.95,69.0,68.94,896321,61791025.85,8901,480156.0,53.57
KALYANKJIL,EQ,13-Apr-2021,68.35,69.0,69.85,68.05,69.35,69.3,69.02,1439847,99383862.6,11258,755365.0,52.46
KALYANKJIL,EQ,12-Apr-2021,71.0,70.9,70.9,68.0,68.4,68.35,68.67,2042113,140229964.2,18127,1266324.0,62.01
KALYANKJIL,EQ,09-Apr-2021,72.85,73.0,73.1,70.45,71.0,71.0,71.51,2357516,168583530.4,14790,1460379.0,61.95
KALYANKJIL,EQ,08-Apr-2021,69.9,71.9,75.0,71.4,72.75,72.85,73.16,4824848,352990855.1,31839,1883525.0,39.04
KALYANKJIL,EQ,07-Apr-2021,70.35,70.55,70.9,69.8,70.0,69.9,70.14,1625067,113979470.35,12288,836364.0,51.47
KALYANKJIL,EQ,06-Apr-2021,69.9,70.3,71.25,69.1,70.35,70.35,70.42,2379469,167552589.35,15437,1018675.0,42.81
KALYANKJIL,EQ,05-Apr-2021,71.4,71.5,71.5,68.55,70.05,69.9,69.78,2399032,167411593.6,21877,1025158.0,42.73
KALYANKJIL,EQ,01-Apr-2021,68.1,68.6,72.75,68.2,70.9,71.4,71.49,7403570,529292113.7,48608,1813708.0,24.5
KALYANKJIL,EQ,31-Mar-2021,70.85,71.75,71.75,67.65,68.0,68.1,69.2,4659613,322461684.1,39047,2087369.0,44.8
KALYANKJIL,EQ,30-Mar-2021,75.2,75.95,77.9,69.65,71.15,70.85,73.38,11092972,813994902.85,100487,4400158.0,39.67
KALYANKJIL,EQ,26-Mar-2021,87.0,73.95,81.0,72.9,74.35,75.2,77.14,51421860,3966430116.2,360101,18436639.0,35.85
KALYANKJIL,EQ,28-Dec-2022,124.0,123.9,133.0,123.55,132.5,131.15,128.97,12084101,1558504444.6,55887,2281518.0,18.88
KALYANKJIL,EQ,27-Dec-2022,121.75,125.0,125.7,120.7,123.7,124.0,123.46,6715085,829013835.45,30576,850138.0,12.66
KALYANKJIL,EQ,26-Dec-2022,107.7,108.0,124.35,106.9,123.85,121.75,117.02,10976444,1284453548.75,43420,2082172.0,18.97
KALYANKJIL,EQ,23-Dec-2022,122.65,121.95,124.0,104.65,109.0,107.7,112.98,8232069,930043594.9,45039,1929977.0,23.44
KALYANKJIL,EQ,22-Dec-2022,123.65,124.3,126.05,117.7,122.2,122.65,121.95,8231183,1003812685.9,57404,2083056.0,25.31
KALYANKJIL,EQ,21-Dec-2022,131.05,131.0,131.05,122.65,124.0,123.65,127.07,7066417,897895039.9,46687,3046183.0,43.11
