"ï»¿""symbol""",series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
SIGNATURE,EQ,28-Dec-2023,843.8,845.0,859.0,838.2,852.0,851.95,852.69,301812,257353511.75,13758,191207,63.35
SIGNATURE,EQ,27-Dec-2023,820.5,829.2,866.8,811.75,842.25,843.8,828.57,935436,775075026.7,22401,575869,61.56
SIGNATURE,EQ,26-Dec-2023,817.85,821.95,822.95,810.05,822.6,820.5,815.34,500362,407965022.35,41264,340836,68.12
SIGNATURE,EQ,22-Dec-2023,808.95,814.9,828.85,806.5,817.0,817.85,820.14,146112,119832322.25,6243,61095,41.81
SIGNATURE,EQ,21-Dec-2023,801.85,790.6,811.0,775.0,809.7,808.95,797.29,165719,132126731.65,6452,58238,35.14
SIGNATURE,EQ,20-Dec-2023,813.85,813.85,818.4,783.1,790.0,801.85,805.54,452996,364907091.8,10183,297126,65.59
SIGNATURE,EQ,19-Dec-2023,804.3,796.3,819.0,796.3,813.55,813.85,804.83,315069,253578451.95,5422,238423,75.67
SIGNATURE,EQ,18-Dec-2023,796.65,796.1,807.3,795.5,803.9,804.3,799.37,302208,241576174.05,5215,253083,83.74
SIGNATURE,EQ,15-Dec-2023,800.8,806.0,816.6,790.7,795.2,796.65,803.17,698872,561314946.55,8190,545137,78.0
SIGNATURE,EQ,14-Dec-2023,800.85,805.0,805.0,800.0,800.1,800.8,801.23,65939,52832101.3,1776,41305,62.64
SIGNATURE,EQ,13-Dec-2023,798.65,802.65,804.6,795.5,801.9,800.85,799.94,70034,56023153.8,2098,25977,37.09
SIGNATURE,EQ,12-Dec-2023,795.4,801.65,809.9,791.0,800.0,798.65,796.93,541956,431902958.8,4295,456351,84.2
SIGNATURE,EQ,11-Dec-2023,789.6,784.0,800.9,784.0,798.0,795.4,796.82,94406,75224788.15,3063,69047,73.14
SIGNATURE,EQ,08-Dec-2023,793.1,794.0,802.9,788.0,789.0,789.6,792.63,246690,195533142.85,4825,181089,73.41
SIGNATURE,EQ,07-Dec-2023,796.75,799.65,803.0,790.0,790.0,793.1,797.51,242946,193751277.15,8795,153634,63.24
SIGNATURE,EQ,06-Dec-2023,797.75,806.0,806.0,796.0,799.0,796.75,799.29,197270,157676473.3,3385,134997,68.43
SIGNATURE,EQ,05-Dec-2023,800.35,805.0,808.9,787.1,803.0,797.75,796.42,582372,463812335.3,8422,464551,79.77
SIGNATURE,EQ,04-Dec-2023,779.3,788.65,808.05,788.65,800.0,800.35,800.12,160897,128737681.05,7495,90026,55.95
SIGNATURE,EQ,01-Dec-2023,760.2,760.2,788.95,760.2,780.4,779.3,779.05,198665,154770537.15,8468,71294,35.89
SIGNATURE,EQ,30-Nov-2023,756.55,756.55,763.6,755.15,759.85,760.2,759.41,121384,92179887.65,3351,53853,44.37
SIGNATURE,EQ,29-Nov-2023,750.0,751.0,763.0,750.0,758.0,756.55,758.04,209725,158979776.05,6834,109394,52.16
SIGNATURE,EQ,28-Nov-2023,749.7,754.0,755.45,743.65,753.0,750.0,750.36,132304,99276214.7,3996,78739,59.51
SIGNATURE,EQ,24-Nov-2023,754.2,755.0,757.9,747.5,751.4,749.7,752.32,203389,153013036.35,5062,97508,47.94
SIGNATURE,EQ,23-Nov-2023,743.9,745.9,758.9,737.6,755.75,754.2,751.06,230652,173233291.1,7618,89346,38.74
SIGNATURE,EQ,22-Nov-2023,745.35,752.0,770.9,735.1,744.0,743.9,748.94,459121,343854361.6,13419,157013,34.2
SIGNATURE,EQ,21-Nov-2023,727.95,729.5,746.0,716.25,746.0,745.35,728.76,2010711,1465316861.6,18085,1656752,82.4
SIGNATURE,EQ,20-Nov-2023,723.15,723.0,730.0,703.55,729.0,727.95,725.27,175798,127500943.1,5987,77651,44.17
SIGNATURE,EQ,17-Nov-2023,721.85,722.95,732.9,715.4,723.25,723.15,724.0,256464,185680784.25,8130,99559,38.82
SIGNATURE,EQ,16-Nov-2023,722.7,727.45,738.0,716.05,726.45,721.85,725.06,214556,155566168.6,7636,90623,42.24
SIGNATURE,EQ,15-Nov-2023,705.05,713.0,740.0,710.35,721.45,722.7,722.69,235891,170476981.0,10458,92127,39.05
SIGNATURE,EQ,13-Nov-2023,692.05,699.0,707.0,692.2,707.0,705.05,701.25,134485,94308148.45,5809,51259,38.12
SIGNATURE,EQ,12-Nov-2023,680.35,684.0,693.8,684.0,693.8,692.05,690.09,85143,58756407.05,1985,47747,56.08
SIGNATURE,EQ,10-Nov-2023,678.8,671.2,683.45,658.0,680.0,680.35,668.53,336761,225134239.65,10174,156310,46.42
SIGNATURE,EQ,09-Nov-2023,663.55,667.0,684.2,656.45,679.1,678.8,671.85,205244,137893872.35,7644,80231,39.09
SIGNATURE,EQ,08-Nov-2023,651.5,663.0,682.95,657.0,665.0,663.55,669.35,297663,199239471.7,9520,134715,45.26
SIGNATURE,EQ,07-Nov-2023,618.65,624.8,662.25,615.05,662.0,651.5,635.61,241947,153783554.3,11048,89822,37.12
SIGNATURE,EQ,06-Nov-2023,601.6,607.0,627.0,605.7,619.0,618.65,617.13,272117,167932586.4,5498,159535,58.63
SIGNATURE,EQ,03-Nov-2023,603.35,609.0,609.9,601.0,601.0,601.6,603.66,142756,86176471.8,5179,69012,48.34
SIGNATURE,EQ,02-Nov-2023,579.0,584.0,608.4,581.4,604.8,603.35,592.04,1134664,671764525.6,13005,902152,79.51
SIGNATURE,EQ,01-Nov-2023,570.1,574.0,583.0,572.6,579.8,579.0,576.85,228540,131832646.7,4169,153544,67.18
SIGNATURE,EQ,31-Oct-2023,565.05,569.0,584.7,565.0,570.8,570.1,570.99,249073,142217364.95,5142,149109,59.87
SIGNATURE,EQ,30-Oct-2023,560.55,559.7,568.45,559.0,565.0,565.05,562.1,421307,236816869.8,7158,292798,69.5
SIGNATURE,EQ,27-Oct-2023,522.8,524.95,568.95,524.95,555.0,560.55,555.53,427530,237505201.0,13907,178828,41.83
SIGNATURE,EQ,26-Oct-2023,530.8,529.95,530.3,513.0,528.0,522.8,520.09,1142300,594104456.4,19897,861906,75.45
SIGNATURE,EQ,25-Oct-2023,529.15,533.0,543.0,528.0,530.0,530.8,531.39,211829,112563314.5,5598,117946,55.68
SIGNATURE,EQ,23-Oct-2023,550.3,551.95,554.0,528.0,528.0,529.15,533.95,349100,186402302.55,8300,211875,60.69
SIGNATURE,EQ,20-Oct-2023,519.65,516.1,560.0,516.1,550.0,550.3,544.28,685705,373218069.75,17993,302531,44.12
SIGNATURE,EQ,19-Oct-2023,511.1,511.9,535.8,509.25,521.0,519.65,515.81,835126,430767153.1,9966,554733,66.43
SIGNATURE,EQ,18-Oct-2023,515.3,517.2,519.75,511.0,511.0,511.1,512.32,168171,86156742.25,2696,119981,71.34
SIGNATURE,EQ,17-Oct-2023,510.1,510.25,519.9,510.25,515.0,515.3,514.11,131025,67360695.05,3162,51627,39.4
SIGNATURE,EQ,16-Oct-2023,504.3,511.75,513.4,507.1,509.5,510.1,509.23,344232,175294494.55,8333,198030,57.53
SIGNATURE,EQ,13-Oct-2023,500.3,501.95,522.0,495.35,504.3,504.3,509.73,490543,250044281.95,10352,177740,36.23
SIGNATURE,EQ,12-Oct-2023,502.8,493.25,514.0,493.25,502.0,500.3,504.59,546557,275787384.85,8534,222781,40.76
SIGNATURE,EQ,11-Oct-2023,498.35,502.85,512.9,495.0,502.5,502.8,505.07,622685,314500226.85,13781,236602,38.0
SIGNATURE,EQ,10-Oct-2023,482.15,485.8,498.9,485.1,498.05,498.35,495.77,1576883,781771075.55,12777,1023043,64.88
SIGNATURE,EQ,09-Oct-2023,483.7,479.0,492.7,472.65,482.1,482.15,483.85,498268,241089453.9,7372,279930,56.18
SIGNATURE,EQ,06-Oct-2023,472.75,474.75,503.45,471.05,484.0,483.7,480.65,2003596,963020786.75,14607,1444783,72.11
SIGNATURE,EQ,05-Oct-2023,468.85,471.4,479.9,471.0,473.0,472.75,473.41,314151,148723295.45,4360,239551,76.25
SIGNATURE,EQ,04-Oct-2023,476.8,476.5,479.0,454.1,471.0,468.85,471.24,847119,399192217.5,15236,486430,57.42
SIGNATURE,EQ,03-Oct-2023,477.75,479.9,485.95,475.0,476.5,476.8,476.53,572238,272688749.5,9009,358769,62.7
SIGNATURE,EQ,29-Sep-2023,460.5,463.9,485.9,460.0,481.15,477.75,474.69,1322775,627902376.75,18852,569938,43.09
SIGNATURE,EQ,28-Sep-2023,458.55,451.0,461.9,446.8,461.1,460.5,455.28,1175144,535020603.65,19171,513656,43.71
SIGNATURE,EQ,27-Sep-2023,385.0,444.0,474.0,444.0,456.55,458.55,448.58,14348612,6436481817.35,119262,8646277,60.26
SIGNATURE,EQ,27-Dec-2024,"1,333.40","1,335.00","1,363.00","1,327.00","1,353.00","1,354.75","1,342.26",715783,960766125.1,14733,198059,27.67
SIGNATURE,EQ,26-Dec-2024,"1,287.20","1,295.45","1,342.00","1,284.80","1,330.00","1,333.40","1,313.74",746568,980795624.35,22296,168065,22.51
SIGNATURE,EQ,24-Dec-2024,"1,251.85","1,245.00","1,295.10","1,243.45","1,290.10","1,287.20","1,272.81",613875,781348853.0,16054,103284,16.82
SIGNATURE,EQ,23-Dec-2024,"1,257.10","1,264.60","1,279.55","1,240.50","1,252.00","1,251.85","1,255.92",550365,691213061.1,22219,67882,12.33
SIGNATURE,EQ,20-Dec-2024,"1,286.40","1,289.90","1,295.00","1,251.00","1,253.40","1,257.10","1,264.51",588414,744052965.0,18237,108510,18.44
SIGNATURE,EQ,19-Dec-2024,"1,294.65","1,284.95","1,298.70","1,271.00","1,280.00","1,286.40","1,285.53",476054,611979523.75,9748,26753,5.62
SIGNATURE,EQ,18-Dec-2024,"1,294.30","1,299.15","1,303.30","1,270.50","1,299.90","1,294.65","1,286.75",716315,921715407.3,20832,197687,27.6
SIGNATURE,EQ,17-Dec-2024,"1,263.65","1,266.20","1,312.85","1,259.60","1,299.80","1,294.30","1,291.69",825447,1066223138.3,23190,184225,22.32
SIGNATURE,EQ,16-Dec-2024,"1,237.90","1,235.00","1,274.00","1,227.85","1,269.00","1,263.65","1,262.40",583736,736911190.5,18903,81750,14.0
SIGNATURE,EQ,13-Dec-2024,"1,257.25","1,255.00","1,269.70","1,211.70","1,237.90","1,237.90","1,231.65",578687,712740076.9,17467,82389,14.24
SIGNATURE,EQ,12-Dec-2024,"1,222.00","1,215.00","1,264.00","1,215.00","1,255.00","1,257.25","1,249.43",894557,1117689485.1,38364,236879,26.48
SIGNATURE,EQ,11-Dec-2024,"1,250.20","1,249.45","1,259.90","1,216.90","1,223.00","1,222.00","1,231.16",1022644,1259035086.95,41833,443769,43.39
SIGNATURE,EQ,10-Dec-2024,"1,273.95","1,275.00","1,279.65","1,234.00","1,249.50","1,250.20","1,250.31",888880,1111375799.35,28808,275475,30.99
SIGNATURE,EQ,09-Dec-2024,"1,301.95","1,301.90","1,302.40","1,252.00","1,275.15","1,273.95","1,272.15",789244,1004034961.4,31129,213350,27.03
SIGNATURE,EQ,06-Dec-2024,"1,354.10","1,355.00","1,356.75","1,300.30","1,301.10","1,301.95","1,318.10",688014,906874437.25,20246,144327,20.98
SIGNATURE,EQ,05-Dec-2024,"1,368.15","1,368.00","1,398.00","1,346.55","1,352.00","1,354.10","1,365.46",681914,931124884.45,21065,127624,18.72
SIGNATURE,EQ,04-Dec-2024,"1,366.10","1,366.20","1,378.00","1,351.10","1,370.00","1,368.15","1,362.80",416063,567011539.1,7937,13240,3.18
SIGNATURE,EQ,03-Dec-2024,"1,348.50","1,351.90","1,373.80","1,351.90","1,362.00","1,366.10","1,365.11",482447,658591180.6,11570,58724,12.17
SIGNATURE,EQ,02-Dec-2024,"1,347.35","1,344.85","1,360.95","1,318.85","1,345.00","1,348.50","1,341.70",534122,716630837.45,15925,71505,13.39
SIGNATURE,EQ,29-Nov-2024,"1,332.40","1,330.00","1,350.00","1,294.05","1,344.30","1,347.35","1,320.13",619412,817701320.8,18341,119256,19.25
SIGNATURE,EQ,28-Nov-2024,"1,321.85","1,334.00","1,347.00","1,321.65","1,326.00","1,332.40","1,338.20",280228,375001142.3,8170,38115,13.6
SIGNATURE,EQ,27-Nov-2024,"1,315.25","1,320.70","1,330.40","1,311.10","1,324.80","1,321.85","1,319.57",241551,318744214.75,6268,15362,6.36
SIGNATURE,EQ,26-Nov-2024,"1,327.45","1,325.00","1,332.45","1,311.00","1,322.00","1,315.25","1,323.60",248449,328847787.4,7795,13665,5.5
SIGNATURE,EQ,25-Nov-2024,"1,298.10","1,330.00","1,341.00","1,306.65","1,321.80","1,327.45","1,325.57",1298212,1720875664.9,37347,671550,51.73
SIGNATURE,EQ,22-Nov-2024,"1,263.95","1,264.85","1,312.95","1,257.45","1,302.00","1,298.10","1,281.98",341484,437777184.6,17246,54236,15.88
SIGNATURE,EQ,21-Nov-2024,"1,289.10","1,294.10","1,303.50","1,250.00","1,261.00","1,263.95","1,263.78",404561,511276738.75,20632,89054,22.01
SIGNATURE,EQ,19-Nov-2024,"1,290.80","1,290.80","1,320.00","1,281.95","1,290.85","1,289.10","1,305.73",335711,438349249.65,14377,53641,15.98
SIGNATURE,EQ,18-Nov-2024,"1,302.95","1,305.00","1,309.70","1,282.65","1,290.00","1,290.80","1,294.89",295764,382983082.5,11789,47553,16.08
SIGNATURE,EQ,14-Nov-2024,"1,257.25","1,259.90","1,319.00","1,259.35","1,305.00","1,302.95","1,301.35",548356,713600579.35,38808,154881,28.24
SIGNATURE,EQ,13-Nov-2024,"1,302.20","1,302.20","1,303.15","1,251.00","1,272.00","1,257.25","1,276.22",546859,697915111.4,22507,193900,35.46
SIGNATURE,EQ,12-Nov-2024,"1,283.15","1,278.80","1,348.00","1,277.60","1,300.00","1,302.20","1,322.28",541693,716270541.8,26435,134898,24.9
SIGNATURE,EQ,11-Nov-2024,"1,268.50","1,280.00","1,329.85","1,250.00","1,274.15","1,283.15","1,289.41",824893,1063622334.35,46811,185311,22.46
SIGNATURE,EQ,08-Nov-2024,"1,384.00","1,385.00","1,393.00","1,254.15","1,266.00","1,268.50","1,302.48",1468900,1913206256.2,68468,617353,42.03
SIGNATURE,EQ,07-Nov-2024,"1,401.45","1,404.95","1,414.80","1,375.00","1,391.80","1,384.00","1,397.50",434013,606531869.55,20035,122409,28.2
SIGNATURE,EQ,06-Nov-2024,"1,360.80","1,365.80","1,414.00","1,350.95","1,405.00","1,401.45","1,377.05",465243,640661665.4,21958,158963,34.17
SIGNATURE,EQ,05-Nov-2024,"1,355.25","1,343.00","1,367.95","1,330.00","1,358.00","1,360.80","1,342.50",370428,497297786.35,24169,81271,21.94
SIGNATURE,EQ,04-Nov-2024,"1,386.65","1,381.00","1,381.35","1,344.00","1,359.00","1,355.25","1,358.11",349732,474974821.75,19408,84137,24.06
SIGNATURE,EQ,01-Nov-2024,"1,363.15","1,369.50","1,424.00","1,369.50","1,380.00","1,386.65","1,379.29",34085,47013250.1,1015,3239,9.5
SIGNATURE,EQ,31-Oct-2024,"1,386.40","1,380.00","1,387.30","1,353.05","1,365.10","1,363.15","1,368.59",416476,569986757.45,22208,100501,24.13
SIGNATURE,EQ,30-Oct-2024,"1,378.40","1,389.05","1,405.00","1,378.25","1,378.25","1,386.40","1,396.75",370640,517692068.85,14151,94145,25.4
SIGNATURE,EQ,29-Oct-2024,"1,368.80","1,368.00","1,414.00","1,340.00","1,414.00","1,378.40","1,358.38",352174,478384880.55,13239,57390,16.3
SIGNATURE,EQ,28-Oct-2024,"1,370.35","1,370.00","1,392.40","1,350.10","1,370.00","1,368.80","1,375.47",358289,492817123.1,16763,61376,17.13
SIGNATURE,EQ,25-Oct-2024,"1,405.55","1,405.00","1,412.50","1,351.00","1,370.10","1,370.35","1,375.07",402746,553803525.5,24183,91351,22.68
SIGNATURE,EQ,24-Oct-2024,"1,430.90","1,430.00","1,439.75","1,402.00","1,402.35","1,405.55","1,423.26",371839,529222089.25,18022,81982,22.05
SIGNATURE,EQ,23-Oct-2024,"1,431.35","1,432.00","1,461.20","1,401.00","1,430.00","1,430.90","1,438.28",345631,497113974.0,16383,54568,15.79
SIGNATURE,EQ,22-Oct-2024,"1,483.05","1,480.00","1,490.10","1,411.00","1,435.30","1,431.35","1,445.26",408570,590491888.65,16641,122683,30.03
SIGNATURE,EQ,21-Oct-2024,"1,489.55","1,489.55","1,503.95","1,475.00","1,482.00","1,483.05","1,484.10",248099,368202550.7,7268,20693,8.34
SIGNATURE,EQ,18-Oct-2024,"1,485.05","1,488.10","1,498.00","1,435.00","1,490.00","1,489.55","1,454.04",488691,710578484.4,20550,129655,26.53
SIGNATURE,EQ,17-Oct-2024,"1,508.65","1,512.05","1,524.00","1,473.10","1,489.00","1,485.05","1,495.81",389629,582809442.35,14738,100453,25.78
SIGNATURE,EQ,16-Oct-2024,"1,531.35","1,540.55","1,540.55","1,501.00","1,505.00","1,508.65","1,511.39",419589,634161522.45,13789,128953,30.73
SIGNATURE,EQ,15-Oct-2024,"1,505.00","1,510.00","1,544.00","1,492.30","1,532.90","1,531.35","1,508.02",439313,662490781.75,16652,114078,25.97
SIGNATURE,EQ,14-Oct-2024,"1,490.70","1,496.30","1,514.00","1,490.00","1,505.00","1,505.00","1,503.03",349896,525904560.0,9240,75851,21.68
SIGNATURE,EQ,11-Oct-2024,"1,509.85","1,509.85","1,515.50","1,476.15","1,498.00","1,490.70","1,492.37",355544,530602481.05,10072,76382,21.48
SIGNATURE,EQ,10-Oct-2024,"1,544.20","1,562.75","1,564.40","1,502.00","1,505.00","1,509.85","1,530.09",377467,577557505.25,10453,93812,24.85
SIGNATURE,EQ,09-Oct-2024,"1,532.35","1,570.00","1,594.00","1,541.00","1,544.95","1,544.20","1,555.75",843900,1312896024.35,43385,320954,38.03
SIGNATURE,EQ,08-Oct-2024,"1,530.30","1,521.00","1,549.95","1,507.35","1,531.60","1,532.35","1,526.78",338047,516123201.65,15613,67544,19.98
SIGNATURE,EQ,07-Oct-2024,"1,536.05","1,555.00","1,563.75","1,483.05","1,525.00","1,530.30","1,523.82",590087,899188531.65,21261,189372,32.09
SIGNATURE,EQ,04-Oct-2024,"1,579.55","1,591.85","1,591.85","1,511.00","1,541.00","1,536.05","1,535.22",900263,1382101371.8,31263,349166,38.78
SIGNATURE,EQ,03-Oct-2024,"1,612.90","1,591.00","1,608.00","1,561.00","1,561.00","1,579.55","1,588.84",539647,857412654.25,20010,180682,33.48
SIGNATURE,EQ,01-Oct-2024,"1,597.75","1,600.90","1,617.85","1,590.75","1,614.00","1,612.90","1,607.73",502747,808280223.2,15144,166963,33.21
SIGNATURE,EQ,30-Sep-2024,"1,588.30","1,605.05","1,610.55","1,588.40","1,598.80","1,597.75","1,596.68",788828,1259509094.15,17515,371905,47.15
SIGNATURE,EQ,27-Sep-2024,"1,601.60","1,604.90","1,614.50","1,578.00","1,591.00","1,588.30","1,600.12",574818,919777282.9,14685,127414,22.17
SIGNATURE,EQ,26-Sep-2024,"1,579.30","1,575.00","1,647.00","1,575.00","1,600.30","1,601.60","1,605.76",883888,1419311757.2,30045,215661,24.4
SIGNATURE,EQ,25-Sep-2024,"1,573.20","1,584.65","1,597.85","1,559.10","1,575.00","1,579.30","1,575.63",518114,816354910.8,15716,68353,13.19
SIGNATURE,EQ,24-Sep-2024,"1,569.50","1,594.85","1,605.00","1,566.05","1,572.00","1,573.20","1,578.80",652106,1029543737.3,24295,136946,21.0
SIGNATURE,EQ,23-Sep-2024,"1,527.40","1,535.00","1,581.95","1,519.80","1,579.00","1,569.50","1,548.46",1255053,1943393408.9,52413,483851,38.55
SIGNATURE,EQ,20-Sep-2024,"1,478.80","1,481.00","1,548.00","1,473.15","1,529.90","1,527.40","1,518.51",2637966,4005769495.0,71750,1753777,66.48
SIGNATURE,EQ,19-Sep-2024,"1,483.05","1,484.90","1,506.70","1,476.00","1,480.95","1,478.80","1,488.27",571068,849902111.5,28878,150367,26.33
SIGNATURE,EQ,18-Sep-2024,"1,486.65","1,498.85","1,498.85","1,472.30","1,485.00","1,483.05","1,486.17",448890,667127266.75,12906,47243,10.52
SIGNATURE,EQ,17-Sep-2024,"1,485.05","1,484.40","1,499.85","1,469.00","1,492.90","1,486.65","1,487.48",602927,896840345.4,14452,181875,30.17
SIGNATURE,EQ,16-Sep-2024,"1,481.75","1,496.00","1,498.85","1,475.65","1,490.00","1,485.05","1,488.23",440300,655267796.6,11006,51475,11.69
SIGNATURE,EQ,13-Sep-2024,"1,478.15","1,482.00","1,492.00","1,476.40","1,478.95","1,481.75","1,485.21",451952,671245042.0,7750,74047,16.38
SIGNATURE,EQ,12-Sep-2024,"1,465.15","1,465.15","1,481.90","1,459.35","1,479.70","1,478.15","1,472.12",559567,823750566.8,11196,167559,29.94
SIGNATURE,EQ,11-Sep-2024,"1,464.85","1,459.50","1,470.30","1,453.25","1,461.00","1,465.15","1,463.91",619486,906873992.55,11082,218430,35.26
SIGNATURE,EQ,10-Sep-2024,"1,458.30","1,462.85","1,470.00","1,458.00","1,461.00","1,464.85","1,464.09",532717,779945349.95,13634,152608,28.65
SIGNATURE,EQ,09-Sep-2024,"1,437.10","1,448.35","1,464.10","1,433.50","1,460.00","1,458.30","1,455.80",635600,925303559.6,17190,200280,31.51
SIGNATURE,EQ,06-Sep-2024,"1,465.30","1,469.00","1,472.90","1,431.00","1,438.00","1,437.10","1,442.06",682725,984528674.85,15540,260375,38.14
SIGNATURE,EQ,05-Sep-2024,"1,432.35","1,444.30","1,468.90","1,440.90","1,466.20","1,465.30","1,457.80",850723,1240187579.1,27137,372542,43.79
SIGNATURE,EQ,04-Sep-2024,"1,410.05","1,413.00","1,440.10","1,407.95","1,435.00","1,432.35","1,430.71",948579,1357138583.45,29136,369734,38.98
SIGNATURE,EQ,03-Sep-2024,"1,495.90","1,500.00","1,500.05","1,387.35","1,422.50","1,410.05","1,432.85",5630895,8068205207.85,67041,2525181,44.85
SIGNATURE,EQ,02-Sep-2024,"1,503.95","1,520.00","1,524.00","1,490.00","1,490.00","1,495.90","1,500.61",495584,743680141.5,14371,94154,19.0
SIGNATURE,EQ,30-Aug-2024,"1,472.90","1,474.90","1,518.00","1,474.90","1,510.00","1,503.95","1,504.74",633844,953767821.3,19748,167756,26.47
SIGNATURE,EQ,29-Aug-2024,"1,487.25","1,481.00","1,483.25","1,462.30","1,475.00","1,472.90","1,470.75",460174,676801185.2,9731,58280,12.66
SIGNATURE,EQ,28-Aug-2024,"1,489.10","1,491.00","1,509.95","1,436.70","1,481.10","1,487.25","1,457.83",639423,932168372.1,16812,162238,25.37
SIGNATURE,EQ,27-Aug-2024,"1,483.05","1,496.55","1,496.55","1,465.00","1,494.00","1,489.10","1,477.57",485246,716987273.5,17071,84491,17.41
SIGNATURE,EQ,26-Aug-2024,"1,488.25","1,497.00","1,497.00","1,430.00","1,492.45","1,483.05","1,453.32",603232,876688082.3,20537,125492,20.8
SIGNATURE,EQ,23-Aug-2024,"1,510.55","1,506.00","1,524.95","1,486.00","1,486.00","1,488.25","1,498.21",420726,630334211.8,9246,54874,13.04
SIGNATURE,EQ,22-Aug-2024,"1,505.70","1,511.00","1,518.00","1,461.85","1,502.65","1,510.55","1,490.57",606551,904106091.35,13964,93972,15.49
SIGNATURE,EQ,21-Aug-2024,"1,534.00","1,534.00","1,539.20","1,492.50","1,514.00","1,505.70","1,509.89",497418,751046832.95,14430,87805,17.65
SIGNATURE,EQ,20-Aug-2024,"1,548.10","1,550.95","1,558.00","1,526.10","1,531.00","1,534.00","1,536.41",456715,701699480.05,12236,73813,16.16
SIGNATURE,EQ,19-Aug-2024,"1,527.50","1,539.00","1,553.90","1,532.25","1,541.05","1,548.10","1,543.25",508512,784759338.9,11881,106490,20.94
SIGNATURE,EQ,16-Aug-2024,"1,490.60","1,501.00","1,532.00","1,491.00","1,530.00","1,527.50","1,510.08",618799,934435622.55,16029,143719,23.23
SIGNATURE,EQ,14-Aug-2024,"1,481.50","1,500.00","1,514.00","1,480.00","1,485.00","1,490.60","1,496.91",536703,803393461.45,17956,81587,15.2
SIGNATURE,EQ,13-Aug-2024,"1,453.40","1,494.00","1,504.00","1,475.00","1,484.00","1,481.50","1,489.17",744099,1108086352.25,25497,196971,26.47
SIGNATURE,EQ,12-Aug-2024,"1,414.85","1,411.00","1,460.00","1,391.35","1,457.00","1,453.40","1,434.05",599241,859342330.35,16592,132150,22.05
SIGNATURE,EQ,09-Aug-2024,"1,402.00","1,405.00","1,428.00","1,401.30","1,415.00","1,414.85","1,416.24",468035,662848668.45,10433,51213,10.94
SIGNATURE,EQ,08-Aug-2024,"1,429.10","1,448.00","1,468.00","1,385.00","1,391.10","1,402.00","1,417.28",678434,961528621.4,22314,154984,22.84
SIGNATURE,EQ,07-Aug-2024,"1,397.05","1,411.00","1,444.00","1,401.00","1,430.00","1,429.10","1,424.81",466556,664751731.0,10953,72657,15.57
SIGNATURE,EQ,06-Aug-2024,"1,392.00","1,401.00","1,422.00","1,390.00","1,395.00","1,397.05","1,411.72",405894,573007602.9,7710,48253,11.89
SIGNATURE,EQ,05-Aug-2024,"1,431.95","1,416.00","1,422.95","1,371.25","1,385.00","1,392.00","1,389.65",496466,689912333.75,19352,89668,18.06
SIGNATURE,EQ,02-Aug-2024,"1,448.50","1,428.00","1,456.00","1,410.00","1,431.00","1,431.95","1,432.34",482448,691029024.4,13610,48156,9.98
SIGNATURE,EQ,01-Aug-2024,"1,488.10","1,497.90","1,505.85","1,442.30","1,446.00","1,448.50","1,463.18",642277,939764469.45,19698,179598,27.96
SIGNATURE,EQ,31-Jul-2024,"1,517.50","1,519.30","1,528.00","1,480.00","1,494.00","1,488.10","1,501.37",574471,862493438.7,13101,104776,18.24
SIGNATURE,EQ,30-Jul-2024,"1,501.55","1,505.00","1,575.00","1,503.60","1,515.00","1,517.50","1,512.14",445120,673084223.8,7621,41082,9.23
SIGNATURE,EQ,29-Jul-2024,"1,508.00","1,518.00","1,536.80","1,499.35","1,511.00","1,501.55","1,509.07",472217,712606851.7,8459,47446,10.05
SIGNATURE,EQ,26-Jul-2024,"1,477.70","1,481.00","1,518.00","1,477.00","1,514.00","1,508.00","1,498.89",606037,908384716.25,16702,129602,21.39
SIGNATURE,EQ,25-Jul-2024,"1,483.65","1,475.00","1,494.00","1,471.00","1,482.45","1,477.70","1,483.66",507551,753030756.9,11399,72709,14.33
SIGNATURE,EQ,24-Jul-2024,"1,465.65","1,470.10","1,500.00","1,466.80","1,480.00","1,483.65","1,486.60",488563,726299308.5,15012,96271,19.7
SIGNATURE,EQ,23-Jul-2024,"1,491.65","1,486.00","1,517.00","1,456.10","1,461.00","1,465.65","1,493.28",630131,940958875.9,21189,98713,15.67
SIGNATURE,EQ,22-Jul-2024,"1,472.10","1,461.00","1,498.00","1,437.20","1,491.00","1,491.65","1,474.25",624901,921258343.05,17600,124602,19.94
SIGNATURE,EQ,19-Jul-2024,"1,479.15","1,482.00","1,491.70","1,456.00","1,471.00","1,472.10","1,476.01",534544,788990956.35,23715,100102,18.73
SIGNATURE,EQ,18-Jul-2024,"1,459.90","1,460.75","1,498.00","1,457.55","1,476.00","1,479.15","1,480.59",793603,1175002255.25,16396,340383,42.89
SIGNATURE,EQ,16-Jul-2024,"1,503.35","1,507.00","1,516.00","1,438.05","1,458.00","1,459.90","1,482.87",582548,863841463.75,16297,112514,19.31
SIGNATURE,EQ,15-Jul-2024,"1,512.80","1,534.00","1,536.00","1,500.00","1,501.70","1,503.35","1,507.62",520083,784089371.9,10774,92420,17.77
SIGNATURE,EQ,12-Jul-2024,"1,512.00","1,519.30","1,519.30","1,500.00","1,506.00","1,512.80","1,511.84",473505,715864319.45,13588,66181,13.98
