,symbol,year,quarter,net_income,total_assets,source,book_value
0,360ONE,2018,FY,380.0,9567.0,screener_html,1863.0
1,360ONE,2019,FY,375.0,9763.0,screener_html,2911.0
2,360ONE,2020,FY,201.0,13021.0,screener_html,2991.0
3,360ONE,2021,FY,369.0,8739.0,screener_html,2828.0
4,360ONE,2022,FY,578.0,10734.0,screener_html,3024.0
5,360ONE,2023,FY,658.0,11191.0,screener_html,3122.0
6,360ONE,2024,FY,804.0,15114.0,screener_html,3450.0
7,360ONE,2025,FY,1015.0,19768.0,screener_html,7065.0
8,360ONE,2026,FY,1216.0,27201.0,screener_html,9836.0
9,3MINDIA,2018,FY,333.0,2311.0,screener_html,1066.0
10,3MINDIA,2019,FY,366.0,2118.0,screener_html,1433.0
11,3MINDIA,2020,FY,322.0,2371.0,screener_html,1751.0
12,3MINDIA,2021,FY,162.0,2652.0,screener_html,1910.0
13,3MINDIA,2022,FY,272.0,3006.0,screener_html,2183.0
14,3MINDIA,2023,FY,451.0,2714.0,screener_html,1677.0
15,3MINDIA,2024,FY,583.0,3248.0,screener_html,2147.0
16,ABB,2011,FY,185.0,6319.0,screener_html,2534.0
17,ABB,2012,FY,141.0,6504.0,screener_html,2601.0
18,ABB,2024,FY,1872.0,12391.0,screener_html,7075.0
19,ABB,2025,FY,1668.0,13638.0,screener_html,7836.0
20,ACC,2014,FY,1162.0,12682.0,screener_html,8218.0
21,ACC,2015,FY,587.0,12800.0,screener_html,8421.0
22,ACC,2016,FY,658.0,13394.0,screener_html,8813.0
23,ACC,2017,FY,925.0,14846.0,screener_html,9356.0
24,ACC,2018,FY,1521.0,16056.0,screener_html,10532.0
25,ACC,2019,FY,1378.0,17136.0,screener_html,11544.0
26,ACC,2020,FY,1430.0,18200.0,screener_html,12699.0
27,ACC,2021,FY,1863.0,21039.0,screener_html,14309.0
28,ACC,2023,FY,885.0,20544.0,screener_html,14138.0
29,ACC,2024,FY,2335.0,23368.0,screener_html,16328.0
30,ACC,2025,FY,2402.0,25413.0,screener_html,18555.0
31,ACC,2026,FY,2137.0,27525.0,screener_html,20551.0
32,ACMESOLAR,2020,FY,86.0,15460.0,screener_html,1192.0
33,ACMESOLAR,2021,FY,15.0,12489.0,screener_html,1857.0
34,ACMESOLAR,2022,FY,62.0,10797.0,screener_html,1908.0
35,ACMESOLAR,2023,FY,-3.0,12027.0,screener_html,1900.0
36,ACMESOLAR,2024,FY,698.0,13207.0,screener_html,2590.0
37,ACMESOLAR,2025,FY,251.0,18140.0,screener_html,4511.0
38,ACMESOLAR,2026,FY,498.0,28540.0,screener_html,5061.0
39,AIAENG,2015,FY,431.0,2549.0,screener_html,2084.0
40,AIAENG,2016,FY,457.0,2785.0,screener_html,2323.0
41,AIAENG,2017,FY,457.0,3190.0,screener_html,2717.0
42,AIAENG,2018,FY,444.0,3559.0,screener_html,3009.0
43,AIAENG,2019,FY,511.0,4033.0,screener_html,3514.0
44,AIAENG,2020,FY,590.0,4162.0,screener_html,3701.0
45,AIAENG,2021,FY,566.0,4758.0,screener_html,4244.0
46,AIAENG,2022,FY,620.0,5125.0,screener_html,4755.0
47,AIAENG,2023,FY,1056.0,6630.0,screener_html,5691.0
48,AIAENG,2024,FY,1137.0,7494.0,screener_html,6658.0
49,AIAENG,2025,FY,1060.0,7833.0,screener_html,6927.0
50,AIAENG,2026,FY,1269.0,8538.0,screener_html,8026.0
51,APLAPOLLO,2015,FY,64.0,1323.0,screener_html,495.0
52,APLAPOLLO,2016,FY,101.0,1660.0,screener_html,567.0
53,APLAPOLLO,2017,FY,152.0,1845.0,screener_html,704.0
54,APLAPOLLO,2018,FY,158.0,2181.0,screener_html,838.0
55,APLAPOLLO,2019,FY,148.0,2774.0,screener_html,964.0
56,APLAPOLLO,2020,FY,256.0,3266.0,screener_html,1356.0
57,APLAPOLLO,2021,FY,408.0,3399.0,screener_html,1695.0
58,APLAPOLLO,2022,FY,619.0,4452.0,screener_html,2464.0
59,APLAPOLLO,2023,FY,642.0,5852.0,screener_html,3005.0
60,APLAPOLLO,2024,FY,732.0,7187.0,screener_html,3605.0
61,APLAPOLLO,2025,FY,757.0,7596.0,screener_html,4209.0
62,APLAPOLLO,2026,FY,1203.0,8833.0,screener_html,5297.0
63,AUBANK,2014,FY,101.0,3377.0,screener_html,649.0
64,AUBANK,2015,FY,163.0,4823.0,screener_html,838.0
65,AUBANK,2016,FY,247.0,7933.0,screener_html,1066.0
66,AUBANK,2017,FY,762.0,9812.0,screener_html,1987.0
67,AWL,2019,FY,376.0,11603.0,screener_html,2111.0
68,AWL,2020,FY,461.0,11786.0,screener_html,2570.0
69,AWL,2021,FY,729.0,13328.0,screener_html,3299.0
70,AWL,2022,FY,804.0,21317.0,screener_html,7606.0
71,AWL,2023,FY,582.0,20979.0,screener_html,8166.0
72,AWL,2024,FY,148.0,19777.0,screener_html,8316.0
73,AWL,2025,FY,1226.0,22412.0,screener_html,9424.0
74,AWL,2026,FY,1045.0,24736.0,screener_html,10440.0
75,AADHARHFC,2019,FY,162.0,9480.0,screener_html,859.0
76,AADHARHFC,2020,FY,189.0,12366.0,screener_html,2347.0
77,AADHARHFC,2021,FY,340.0,13630.0,screener_html,2693.0
78,AADHARHFC,2022,FY,445.0,14376.0,screener_html,3147.0
79,AADHARHFC,2023,FY,545.0,16618.0,screener_html,3698.0
80,AADHARHFC,2024,FY,750.0,19093.0,screener_html,4450.0
81,AADHARHFC,2025,FY,912.0,23224.0,screener_html,6372.0
82,AADHARHFC,2026,FY,1096.0,27399.0,screener_html,7541.0
83,AARTIIND,2015,FY,208.0,2938.0,screener_html,1016.0
84,AARTIIND,2016,FY,268.0,2966.0,screener_html,1138.0
85,AARTIIND,2017,FY,328.0,3499.0,screener_html,1362.0
86,AARTIIND,2018,FY,346.0,4391.0,screener_html,1579.0
87,AARTIIND,2019,FY,504.0,5858.0,screener_html,2630.0
88,AARTIIND,2020,FY,547.0,6332.0,screener_html,2979.0
89,AARTIIND,2021,FY,535.0,7642.0,screener_html,3503.0
90,AARTIIND,2022,FY,1186.0,7851.0,screener_html,4516.0
91,AARTIIND,2023,FY,545.0,8581.0,screener_html,4920.0
92,AARTIIND,2024,FY,416.0,10115.0,screener_html,5290.0
93,AARTIIND,2025,FY,331.0,11114.0,screener_html,5605.0
94,AARTIIND,2026,FY,419.0,13299.0,screener_html,5955.0
95,AAVAS,2018,FY,93.0,4040.0,screener_html,1190.0
96,AAVAS,2019,FY,176.0,5627.0,screener_html,1837.0
97,AAVAS,2020,FY,249.0,7657.0,screener_html,2098.0
98,AAVAS,2021,FY,289.0,8959.0,screener_html,2400.0
99,AAVAS,2022,FY,355.0,11017.0,screener_html,2807.0
100,AAVAS,2023,FY,430.0,13410.0,screener_html,3270.0
101,AAVAS,2024,FY,491.0,16519.0,screener_html,3773.0
102,ABBOTINDIA,2015,FY,229.0,1374.0,screener_html,937.0
103,ABBOTINDIA,2016,FY,255.0,1616.0,screener_html,1195.0
104,ABBOTINDIA,2017,FY,277.0,2066.0,screener_html,1387.0
105,ABBOTINDIA,2018,FY,401.0,2416.0,screener_html,1693.0
106,ABBOTINDIA,2019,FY,450.0,2941.0,screener_html,2008.0
107,ABBOTINDIA,2020,FY,593.0,3547.0,screener_html,2431.0
108,ABBOTINDIA,2021,FY,691.0,3840.0,screener_html,2602.0
109,ABBOTINDIA,2022,FY,799.0,4224.0,screener_html,2820.0
110,ABBOTINDIA,2023,FY,949.0,4556.0,screener_html,3188.0
111,ABBOTINDIA,2024,FY,1201.0,5193.0,screener_html,3699.0
112,ABBOTINDIA,2025,FY,1414.0,5917.0,screener_html,4233.0
113,ABBOTINDIA,2026,FY,1552.0,6502.0,screener_html,4774.0
114,ACE,2015,FY,5.0,609.0,screener_html,292.0
115,ACE,2016,FY,9.0,620.0,screener_html,282.0
116,ACE,2017,FY,14.0,677.0,screener_html,334.0
117,ACE,2018,FY,52.0,817.0,screener_html,382.0
118,ACE,2019,FY,56.0,887.0,screener_html,437.0
119,ACE,2020,FY,52.0,954.0,screener_html,443.0
120,ACE,2021,FY,80.0,1055.0,screener_html,524.0
121,ACE,2022,FY,105.0,1282.0,screener_html,754.0
122,ACE,2023,FY,173.0,1600.0,screener_html,919.0
123,ACE,2024,FY,328.0,2169.0,screener_html,1230.0
124,ACE,2025,FY,409.0,2710.0,screener_html,1615.0
125,ACE,2026,FY,415.0,3252.0,screener_html,2011.0
126,ACUTAAS,2017,FY,12.0,109.0,screener_html,39.0
127,ACUTAAS,2018,FY,18.0,155.0,screener_html,58.0
128,ACUTAAS,2019,FY,23.0,213.0,screener_html,82.0
129,ACUTAAS,2020,FY,27.0,232.0,screener_html,111.0
130,ACUTAAS,2021,FY,54.0,413.0,screener_html,167.0
131,ACUTAAS,2022,FY,72.0,659.0,screener_html,522.0
