date,symbol,return
2011-01-31,UBL,
2011-01-31,BRITANNIA,
2011-01-31,POONAWALLA,
2011-01-31,GABRIEL,
2011-01-31,PFC,
2011-01-31,INDIANB,
2011-01-31,ZYDUSLIFE,
2011-01-31,JKCEMENT,
2011-01-31,BALKRISIND,
2011-01-31,CEATLTD,
2011-01-31,NATIONALUM,
2011-01-31,UCOBANK,
2011-01-31,LICHSGFIN,
2011-01-31,AJANTPHARM,
2011-01-31,INDIACEM,
2011-01-31,BAJAJHLDNG,
2011-01-31,OBEROIRLTY,
2011-01-31,TRIDENT,
2011-01-31,SUNTV,
2011-01-31,ELECON,
2011-01-31,SUZLON,
2011-01-31,OIL,
2011-01-31,CHENNPETRO,
2011-01-31,ITC,
2011-01-31,OLECTRA,
2011-01-31,J&KBANK,
2011-01-31,RECLTD,
2011-01-31,IOC,
2011-01-31,JSWSTEEL,
2011-01-31,HINDZINC,
2011-01-31,HINDUNILVR,
2011-01-31,RPOWER,
2011-01-31,GLENMARK,
2011-01-31,GLAXO,
2011-01-31,UNOMINDA,
2011-01-31,PRESTIGE,
2011-01-31,CYIENT,
2011-01-31,HINDCOPPER,
2011-01-31,HCLTECH,
2011-01-31,M&M,
2011-01-31,ABBOTINDIA,
2011-01-31,TRENT,
2011-01-31,NESTLEIND,
2011-01-31,ASHOKLEY,
2011-01-31,ADANIPORTS,
2011-01-31,ASTRAL,
2011-01-31,BPCL,
2011-01-31,REDINGTON,
2011-01-31,GRAPHITE,
2011-01-31,INDHOTEL,
2011-01-31,HAVELLS,
2011-01-31,SAIL,
2011-01-31,ECLERX,
2011-01-31,ABREL,
2011-01-31,JBMA,
2011-01-31,PERSISTENT,
2011-01-31,GMDCLTD,
2011-01-31,CUB,
2011-01-31,ZENSARTECH,
2011-01-31,ICICIBANK,
2011-01-31,NCC,
2011-01-31,ATUL,
2011-01-31,CHOLAFIN,
2011-01-31,TCS,
2011-01-31,NMDC,
2011-01-31,PVRINOX,
2011-01-31,CIEINDIA,
2011-01-31,TORNTPOWER,
2011-01-31,BANKINDIA,
2011-01-31,POWERGRID,
2011-01-31,LT,
2011-01-31,SCI,
2011-01-31,CGCL,
2011-01-31,MAHABANK,
2011-01-31,UNIONBANK,
